state/region,ages,year,population,state,area (sq. mi),인구밀도
RI,under18,1994.0,239100.0,Rhode Island,1545.0,154.75728155339806
RI,total,1994.0,1015960.0,Rhode Island,1545.0,657.5792880258899
RI,total,1995.0,1017002.0,Rhode Island,1545.0,658.2537216828479
RI,under18,1995.0,240553.0,Rhode Island,1545.0,155.69773462783172
RI,under18,1996.0,240569.0,Rhode Island,1545.0,155.70809061488674
RI,total,1996.0,1020893.0,Rhode Island,1545.0,660.7721682847897
RI,under18,1998.0,241760.0,Rhode Island,1545.0,156.4789644012945
RI,total,1998.0,1031155.0,Rhode Island,1545.0,667.4142394822006
RI,total,1997.0,1025353.0,Rhode Island,1545.0,663.6588996763754
RI,under18,1997.0,242079.0,Rhode Island,1545.0,156.68543689320387
RI,total,2000.0,1050268.0,Rhode Island,1545.0,679.7851132686084
RI,under18,2000.0,248065.0,Rhode Island,1545.0,160.5598705501618
RI,total,1999.0,1040402.0,Rhode Island,1545.0,673.399352750809
RI,under18,1999.0,247014.0,Rhode Island,1545.0,159.87961165048543
RI,total,2001.0,1057142.0,Rhode Island,1545.0,684.2343042071197
RI,under18,2001.0,248296.0,Rhode Island,1545.0,160.7093851132686
RI,total,2002.0,1065995.0,Rhode Island,1545.0,689.9644012944984
RI,under18,2002.0,248690.0,Rhode Island,1545.0,160.96440129449837
RI,total,2004.0,1074579.0,Rhode Island,1545.0,695.5203883495145
RI,under18,2004.0,246228.0,Rhode Island,1545.0,159.37087378640777
RI,total,2003.0,1071342.0,Rhode Island,1545.0,693.4252427184466
RI,under18,2003.0,248075.0,Rhode Island,1545.0,160.5663430420712
RI,total,2005.0,1067916.0,Rhode Island,1545.0,691.2077669902912
RI,under18,2005.0,241932.0,Rhode Island,1545.0,156.59029126213593
RI,total,2006.0,1063096.0,Rhode Island,1545.0,688.0880258899676
RI,under18,2006.0,237348.0,Rhode Island,1545.0,153.6233009708738
RI,total,2008.0,1055003.0,Rhode Island,1545.0,682.8498381877023
RI,under18,2008.0,229798.0,Rhode Island,1545.0,148.73656957928802
